LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 4,2017,1,02:00 PM-03:00 PM,5.68,4.3,3.72,1.91,1.48,6.49,1.07
Link 4,2017,1,04:00 PM-05:00 PM,3.3,2.5,1.36,0.7,1.47,3.27,0.77
Link 4,2017,1,05:00 PM-06:00 PM,2.41,1.76,0.75,0.45,1.21,2.21,0.49
Link 4,2017,1,12:00 AM-01:00 AM,2.18,1.52,0.53,0.32,1.15,1.77,0.31
Link 4,2017,1,07:00 AM-08:00 AM,2.6,2.13,1.0,0.63,1.31,2.53,0.67
Link 4,2017,1,08:00 AM-09:00 AM,2.63,2.13,1.07,0.68,1.26,4.93,0.65
Link 4,2017,1,09:00 AM-10:00 AM,2.75,2.18,1.07,0.64,1.33,5.32,0.82
Link 4,2017,1,11:00 AM-12:00 PM,2.5,1.87,0.79,0.46,1.28,2.83,0.58
Link 4,2017,1,03:00 PM-04:00 PM,4.59,3.48,2.57,1.28,1.53,5.31,1.18
Link 4,2017,1,06:00 PM-07:00 PM,2.43,1.77,0.73,0.43,1.24,2.78,0.54
Link 4,2017,1,07:00 PM-08:00 PM,2.34,1.75,0.68,0.41,1.25,2.62,0.57
Link 4,2017,1,10:00 PM-11:00 PM,2.87,2.33,1.25,0.77,1.32,4.15,0.91
Link 4,2017,1,04:00 AM-05:00 AM,2.7,1.95,0.92,0.51,1.29,3.79,0.64
Link 4,2017,1,06:00 AM-07:00 AM,3.95,3.13,1.92,0.94,1.61,6.29,1.51
Link 4,2017,1,08:00 PM-09:00 PM,2.6,1.94,0.94,0.57,1.23,2.64,0.45
Link 4,2017,1,01:00 AM-02:00 AM,2.58,1.89,0.86,0.5,1.26,4.54,0.52
Link 4,2017,1,05:00 AM-06:00 AM,2.6,1.8,0.8,0.44,1.25,3.15,0.61
Link 4,2017,1,03:00 AM-04:00 AM,2.32,1.72,0.73,0.46,1.18,2.24,0.36
Link 4,2017,1,09:00 PM-10:00 PM,2.11,1.6,0.52,0.33,1.21,2.5,0.46
Link 4,2017,1,11:00 PM-12:00 AM,3.02,2.2,1.2,0.66,1.33,3.61,0.8
Link 4,2017,1,02:00 AM-03:00 AM,1.65,1.17,0.13,0.08,1.08,0.23,0.18
Link 4,2018,1,05:00 AM-06:00 AM,2.97,2.25,1.12,0.6,1.41,2.43,0.74
Link 4,2018,1,07:00 AM-08:00 AM,2.58,2.08,1.04,0.68,1.24,2.5,0.62
Link 4,2018,1,09:00 AM-10:00 AM,2.7,2.21,0.93,0.53,1.45,2.96,0.76
Link 4,2018,1,10:00 AM-11:00 AM,2.67,2.12,0.77,0.4,1.51,2.11,0.49
Link 4,2018,1,11:00 AM-12:00 PM,3.72,2.82,1.76,0.9,1.49,3.54,0.82
Link 4,2018,1,12:00 PM-01:00 PM,2.44,1.97,0.8,0.49,1.32,2.37,0.52
Link 4,2018,1,02:00 PM-03:00 PM,3.3,2.62,1.43,0.76,1.48,3.78,0.75
Link 4,2018,1,03:00 PM-04:00 PM,3.09,2.46,1.39,0.81,1.36,4.09,0.78
Link 4,2018,1,04:00 PM-05:00 PM,2.47,1.93,0.9,0.57,1.23,2.35,0.48
Link 4,2018,1,05:00 PM-06:00 PM,3.34,2.59,1.41,0.73,1.49,3.26,0.87
Link 4,2018,1,07:00 PM-08:00 PM,2.75,2.18,0.92,0.5,1.45,2.13,0.64
Link 4,2018,1,08:00 PM-09:00 PM,2.63,1.99,0.91,0.53,1.3,1.72,0.45
Link 4,2018,1,11:00 PM-12:00 AM,2.33,1.85,0.52,0.29,1.44,2.71,0.52
Link 4,2018,1,04:00 AM-05:00 AM,6.14,4.59,3.6,1.42,1.9,5.85,1.83
Link 4,2018,1,06:00 AM-07:00 AM,2.45,1.9,0.78,0.47,1.29,2.83,0.59
Link 4,2018,1,08:00 AM-09:00 AM,2.69,2.26,1.03,0.62,1.4,3.18,0.69
Link 4,2018,1,01:00 PM-02:00 PM,2.93,2.22,1.1,0.6,1.39,3.5,0.72
Link 4,2018,1,06:00 PM-07:00 PM,2.65,2.01,0.97,0.58,1.27,2.0,0.49
Link 4,2018,1,09:00 PM-10:00 PM,2.34,1.81,0.77,0.49,1.21,2.38,0.45
Link 4,2018,1,10:00 PM-11:00 PM,2.14,1.64,0.49,0.3,1.26,2.2,0.48
Link 4,2018,1,12:00 AM-01:00 AM,2.02,1.57,0.41,0.26,1.25,0.88,0.43
Link 4,2018,1,01:00 AM-02:00 AM,3.01,2.37,1.23,0.69,1.4,13.85,1.19
Link 4,2018,1,03:00 AM-04:00 AM,2.31,1.79,0.7,0.44,1.25,3.3,0.58
