LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 3,2017,1,03:00 PM-04:00 PM,2.64,1.81,0.8,0.43,1.26,1.82,0.53,1.84
Link 3,2017,1,04:00 PM-05:00 PM,2.33,1.65,0.68,0.41,1.17,1.81,0.38,1.65
Link 3,2017,1,05:00 PM-06:00 PM,2.27,1.55,0.56,0.33,1.17,1.74,0.38,1.71
Link 3,2017,1,06:00 PM-07:00 PM,2.34,1.64,0.65,0.39,1.18,2.03,0.36,1.69
Link 3,2017,1,07:00 PM-08:00 PM,2.21,1.55,0.55,0.33,1.16,2.08,0.38,1.66
Link 3,2017,1,08:00 PM-09:00 PM,2.34,1.64,0.61,0.35,1.21,2.32,0.39,1.73
Link 3,2017,1,09:00 PM-10:00 PM,2.85,1.92,0.95,0.5,1.27,2.14,0.51,1.9
Link 3,2017,1,10:00 PM-11:00 PM,2.48,1.7,0.69,0.39,1.22,2.5,0.5,1.79
Link 3,2017,1,11:00 PM-12:00 AM,2.64,1.81,0.75,0.39,1.3,2.45,0.48,1.89
Link 3,2018,4,12:00 AM-01:00 AM,2.07,1.49,0.43,0.26,1.18,1.65,0.39,1.64
Link 3,2018,4,01:00 AM-02:00 AM,2.34,1.64,0.67,0.4,1.17,2.98,0.41,1.67
Link 3,2018,4,03:00 AM-04:00 AM,2.21,1.65,0.5,0.29,1.28,1.09,0.43,1.71
Link 3,2018,4,04:00 AM-05:00 AM,2.68,1.9,0.93,0.53,1.25,2.25,0.55,1.76
Link 3,2018,4,05:00 AM-06:00 AM,2.55,1.78,0.79,0.45,1.23,2.08,0.48,1.76
Link 3,2018,4,06:00 AM-07:00 AM,2.73,1.83,0.85,0.45,1.26,2.0,0.59,1.88
Link 3,2018,4,07:00 AM-08:00 AM,4.81,2.36,1.54,0.47,1.6,1.13,0.84,3.27
Link 3,2018,4,08:00 AM-09:00 AM,6.29,2.0,2.2,0.54,1.3,0.84,0.73,4.09
Link 3,2018,4,09:00 AM-10:00 AM,4.09,2.61,1.84,0.81,1.44,5.31,1.19,2.25
Link 3,2018,4,10:00 AM-11:00 AM,2.69,1.75,0.84,0.45,1.2,2.61,0.48,1.85
Link 3,2018,4,11:00 AM-12:00 PM,2.57,1.64,0.69,0.36,1.2,2.04,0.41,1.88
Link 3,2018,4,12:00 PM-01:00 PM,2.48,1.55,0.6,0.32,1.18,1.61,0.4,1.88
Link 3,2018,4,01:00 PM-02:00 PM,2.74,1.61,0.64,0.31,1.24,1.51,0.45,2.1
Link 3,2018,4,02:00 PM-03:00 PM,2.73,1.61,0.65,0.31,1.22,1.71,0.43,2.08
Link 3,2018,4,03:00 PM-04:00 PM,3.07,1.69,0.77,0.34,1.26,1.11,0.45,2.3
Link 3,2018,4,04:00 PM-05:00 PM,3.14,1.65,0.81,0.35,1.23,1.22,0.44,2.33
Link 3,2018,4,05:00 PM-06:00 PM,3.03,1.59,0.73,0.32,1.21,1.12,0.46,2.3
